# Manual Concerts
# Format: Date|Venue|City|Link
# Example: 15.12.2024|Blue Note|New York, NY|https://example.com

# Upcoming Concerts
20.08.2022|Festival am Forsthaus|Buchholz (GER)|
19.08.2022|TBA|Bonn (GER)|
20.07.2022|Babel Sound|Balatonboglár (HU)|
01.07.2022|Eldenaer Jazz Evenings ( Sextet / NDR Broadcast )|Greifswald (GER)|
09.04.2022|White Cube|Bergedorf (GER)|
08.04.2022|TOR 9|Bremen (GER)|
12.03.2022|PlusEtage ( Sextet )|Baarle-Nassau (NL)|
12.12.2021|B flat ( Trio w. Jungle Debris )|Berlin (GER)|
15.10.2021|Jazzklub|Altenburg (GER)|
14.10.2021|Peter und der Jazz|Rostock (GER)|
13.10.2021|Zentrifuge Studio Recording|Berlin (GER)|
12.10.2021|Zentrifuge Studio Recording|Berlin (GER)|
11.10.2021|Jazzdock ( Sextet )|Prague (CZ)|
09.10.2021|Musikbunker ( Sextet )|Aachen (GER)|
08.10.2021|Freakshow.Artrock.Festival ( Sextet )|Würzburg (GER)|
29.08.2021|BUI Picnic Festival #balkonscenes|Utrecht (NL)|
28.08.2021|Jazz in Crooswijk #bakonscenes|Rotterdam (NL)|
27.08.2021|Summer Space Festival #balkonscenes|Amsterdam (NL)|
20.08.2021|Jazzfestival ( Sextet with Tobias Delius & John Dikeman )|Saalfelden (AT)|
14.08.2021|OZOLand|Hunsel (NL)|
14.08.2021|Ozoland #Balconscenes|Hunsel (NL)|
31.07.2021|Varna Jazz Festival|Varna (BUL)|
14.05.2021|TBA|Dordrecht (NL)|
13.05.2021|Porgy & Bess|Vienna (AT)|
12.05.2021|Jazzdock ( CANCELLED )|Prague (CZ)|
17.04.2021|Kühlspot ( cancelled )|Berlin (GER)|
16.04.2021|Jazzklub ( cancelled )|Altenburg (GER)|
14.04.2021|Loft ( cancelled )|Cologne (GER)|
13.04.2021|Musikbunker ( Sextett )|Aachen (GER)|
12.04.2021|Jazzklub Krefeld in der Kulturfabrik ( Live Stream )|Krefeld (GER)|
29.10.2020|U BÍLÝHO ČERNOCHA ( CANCELLED )|ČESKÁ LÍPA (CZ)|
17.10.2020|JazzBlazzt ( CANCELLED )|Neeritter (NL)|
22.08.2020|RKZ Garden ( trio )|Groningen (NL)|
21.08.2020|Lila Eule ( trio )|Bremen (GER)|
16.08.2020|WhiteCube|Bergedorf (GER)|
15.08.2020|Wendlandjazz|Gedelitz (GER)|
07.08.2020|Bayerisches Jazzinstitut Live Stream|Regensburg (GER)|
05.06.2020|Open Air Schieszhaus ( Trio ) – CANCELLED|Zeulenroda (GER)|
16.05.2020|Sowieso – CANCELLED|Berlin (GER)|
15.05.2020|Ponava – CANCELLED|Brno (CZ)|
14.05.2020|Porgy & Bess – CANCELLED|Vienna (AT)|
05.05.2020|BEvrijdingsfestival op Fort Lunet I – CANCELLED|Utrecht (NL)|
09.04.2020|JAZZKLUB KREFELD ( Sextet ) – CANCELLED|Krefeld (GER)|
03.04.2020|PlayOutFest@Sexyland ( Quintet ) – CANCELLED|Amsterdam (NL)|
28.03.2020|CLUB Bambule – CANCELLED|Göppingen (GER)|
27.03.2020|Jazzclub Altenburg – CANCELLED|Altenburg (GER)|
26.03.2020|U bílýho černocha – CANCELLED|Česká Lípa (CZ)|
09.02.2020|Cuba|Münster (GER)|
08.02.2020|Kulturbahnhof|Jena (GER)|
